DATE,RPMB53Q,RPMB54Q,RPMB57Q,RPMB58Q,LPMBZ2A,LPMBZ2C,LPMVTVJ,LPMVTVX,LPMB3PS,LPMBC57,LPMVWNQ,LPMVVHR,LPMAUYN
30 Jun 2021,2641243,19032,2259091,31987,1742961,17429,17118,79325,310,459589,7091,1716844,2912471
31 Jul 2021,2646628,5604,2245632,-13347,1741196,-1169,-1790,72563,622,455760,-3086,1721272,2912002
31 Aug 2021,2655520,9088,2247722,2876,1745334,5138,4221,71056,917,454681,-787,1727557,2930762
30 Sep 2021,2668110,11654,2248637,4193,1751050,10083,9518,70574,565,450315,-1729,1733536,2948674
31 Oct 2021,2687809,15352,2263325,13156,1752310,2818,1668,68335,1150,453708,-1000,1741493,2967608
30 Nov 2021,2701483,14090,2264279,2721,1756817,4814,3667,69467,1148,451791,-554,1745269,2986636
31 Dec 2021,2701910,-367,2266924,3358,1760692,4810,4231,72795,579,453823,925,1748191,2985999
31 Jan 2022,2708107,6349,2268754,7061,1767033,7178,6393,73949,785,451147,2067,1754497,2990701
28 Feb 2022,2714960,6754,2274860,4725,1773250,6488,5249,68151,1239,452562,-64,1760056,3022077
31 Mar 2022,2743039,27118,2303908,22459,1781874,8405,7187,68641,1217,460400,1855,1767313,3021827
30 Apr 2022,2741539,-1336,2300995,-5250,1786825,5648,4025,65749,1623,462675,308,1772831,3022374
31 May 2022,2763348,21413,2313258,13111,1793909,7496,6367,66363,1129,462847,597,1780067,3037990
30 Jun 2022,2761902,-1740,2303746,-2012,1799687,6733,5038,62949,1695,455671,-1029,1783522,3027966
31 Jul 2022,2773704,11881,2315617,10282,1801920,5876,4352,62829,1524,457407,-139,1788688,3040867
31 Aug 2022,2786963,13186,2317535,3391,1805940,6211,5245,72198,966,455805,945,1793974,3047593
30 Sep 2022,2861162,73381,2340412,25393,1814682,6046,5246,64911,800,454484,524,1802002,3108959
31 Oct 2022,2837464,-23036,2310832,-29433,1818399,4053,3117,57801,936,454693,262,1806061,3111029
30 Nov 2022,2807509,-30045,2290530,-19115,1822623,4579,3446,46719,1133,451024,-2826,1811561,3062742
31 Dec 2022,2771360,-36556,2290800,1544,1825467,3467,2184,41509,1283,451681,822,1813638,3033359
31 Jan 2023,2802950,31023,2285990,-7621,1830091,3190,2418,39798,772,450705,-2769,1815692,3072422
28 Feb 2023,2798519,-4474,2267532,-16867,1832312,2503,862,42811,1642,448623,306,1816251,3052620
31 Mar 2023,2778417,-20085,2275590,-1665,1832204,1559,-10,50893,1568,455177,-862,1812454,3029023
30 Apr 2023,2779677,1259,2272979,-1712,1832336,485,-1347,48637,1832,452991,-1093,1815907,3028264
31 May 2023,2776229,-3107,2271674,2197,1833050,731,-160,50905,891,450361,227,1813949,3034254
30 Jun 2023,2774197,-2243,2267491,-194,1834587,1814,-56,54705,1871,445216,-1416,1816531,3029541
31 Jul 2023,2770798,-3219,2272224,6819,1835937,1480,215,49374,1265,443960,591,1817993,3009278
31 Aug 2023,2767231,-3562,2269895,-1162,1838338,2686,1115,45321,1571,443158,234,1819383,3022980
30 Sep 2023,2739305,-28224,2272645,3572,1838610,287,-1201,44027,1488,442631,825,1818635,2981884
31 Oct 2023,2749945,10929,2271235,-2038,1840356,2057,580,48082,1477,443089,-406,1821952,2989946
30 Nov 2023,2746166,-3711,2282887,12975,1841705,2575,486,50287,2089,443492,678,1825675,2989764
31 Dec 2023,2761560,15837,2287476,6472,1838938,969,-358,52530,1327,443924,-781,1832128,3002280
31 Jan 2024,2761625,-1596,2286056,-2499,1841634,1204,-442,56032,1647,444375,1430,1843475,3001082
29 Feb 2024,2771119,9513,2273858,-13836,1844453,3140,1778,59676,1363,445768,-325,1850514,3012452
31 Mar 2024,2784317,11306,2288771,9509,1846147,1550,90,61146,1461,450974,569,1860645,3034629
30 Apr 2024,2794673,9641,2289967,1389,1851759,2601,1916,61208,685,447808,431,1869843,3042254
31 May 2024,2800167,6043,2291208,610,1854528,2554,1059,60800,1495,449982,582,1876032,3039361
30 Jun 2024,2803722,3690,2298828,4567,1858091,3328,2383,61254,946,453910,1251,1884754,3055218
31 Jul 2024,2818303,14695,2305953,8944,1861737,3844,2649,62854,1195,453684,2266,1891620,3069163
31 Aug 2024,2821064,2852,2306284,3416,1865645,4066,2803,65361,1263,452697,1869,1900225,3069188
30 Sep 2024,2829816,8129,2321202,16255,1869261,3607,2326,65596,1281,453815,2284,1908763,3085592
31 Oct 2024,2848014,17889,2328977,11948,1872200,4909,3788,67846,1120,454700,4158,1927058,3081527
30 Nov 2024,2849683,1831,2329534,-1708,1874960,3390,2692,65907,697,458264,1014,1928824,3083948
31 Dec 2024,2856719,5454,2335132,4818,1877407,4947,3655,66942,1291,461646,743,1934970,3084907
31 Jan 2025,2886661,29459,2344266,8766,1883528,6693,5208,66270,1485,462856,1106,1945514,3131189
28 Feb 2025,2888670,1921,2350720,5989,1888231,5102,3724,64611,1378,463730,819,1950058,3133255
31 Mar 2025,2898599,9893,2367601,16385,1901580,14101,12992,63461,1110,465099,839,1957547,3137323
30 Apr 2025,2905510,5516,2368666,1400,1901499,707,-1231,59736,1938,468485,1898,1965229,3138262
31 May 2025,2911269,5852,2378318,8876,1904225,3031,1917,62618,1114,471167,3006,1969564,3145894
30 Jun 2025,2923020,11813,2395377,20322,1908156,6644,5085,64721,1559,472934,4225,1977079,3153266
31 Jul 2025,2931924,9028,2401642,8349,1913783,6199,4513,65905,1686,475505,3946,1985285,3159316
31 Aug 2025,2944207,12154,2411931,10167,1919706,6207,4428,65278,1779,479082,3756,1990523,3174832
30 Sep 2025,2958952,15193,2432133,19679,1925095,6888,5383,66053,1506,483532,3205,1998558,3192877
31 Oct 2025,2968427,9522,2444393,13603,1930913,6184,4424,64762,1760,482759,565,2005240,3186236
30 Nov 2025,2985895,17464,2464935,16134,1935386,6889,4784,64592,2105,492909,4524,2014395,3211932
31 Dec 2025,3002214,15804,2478634,13295,1941251,6446,4813,61395,1633,498094,5199,2019434,3226568
31 Jan 2026,2991019,-8713,2487796,11365,1947369,6392,4520,60145,1873,499234,3065,2024012,3223604
28 Feb 2026,3004681,13943,2490356,-3107,1953838,7148,5188,62278,1960,506148,2338,2029966,3244416
31 Mar 2026,3028048,23298,2505839,20819,1961989,8604,6707,62920,1897,508248,6271,2035102,3272289
30 Apr 2026,3033199,9579,2510892,12096,1966910,6347,4509,65044,1838,509172,4537,2041312,3274197
31 May 2026,3047950,11452,2515855,-27,1970157,5001,3242,56396,1758,513360,2268,2046883,3280100
30 Jun 2026,3062963,15516,2554448,39122,1978764,9542,7677,58215,1865,516867,2633,2052453,3308262
31 Jul 2026,3054160,-10113,2553181,-12,1984308,6298,4292,56053,2006,518220,1928,2055835,3298964
