Ministero dell'Economia e delle Finanze;;;;;;;;;;;;
Direzione Debito Pubblico;;;;;;;;;;;;
Scadenze suddivise per anno;;;;;;;;;;;;
(Aggiornato al 31/12/2023);;;;;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;;;;;;
IT0005421703;BTP 20;15/09/2020;01/03/2041;1,800;EUR;16.600.000.000,00;;;;;;
NGEU apr.2022/mag.2052;9^ rimborso;13/04/2022;22/05/2041;n/d;EUR;550.000.000,00;;;;;;
NGEU ago.2021/set.2051;10^ rimborso;13/08/2021;10/09/2041;n/d;EUR;796.911.767,60;;;;;;
IT0004545890;BTP€i 30;15/09/2009;15/09/2041; 2,550  Cedola reale;EUR;19.001.688.105,75;;;;;;
NGEU ott.2023/nov.2053;8^ rimborso;09/10/2023;13/11/2041;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;9^ rimborso;08/11/2022;13/12/2041;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;8^ rimborso;28/12/2023;03/02/2042;n/d;EUR;722.598.215,10;;;;;;
NGEU apr.2022/mag.2052;10^ rimborso;13/04/2022;19/05/2042;n/d;EUR;550.000.000,00;;;;;;
XS0740661516;EMTN;01/02/2012;25/07/2042; 4,200  Cedola reale;EUR;296.426.300,00;;;;;;
NGEU ago.2021/set.2051;11^ rimborso;13/08/2021;10/09/2042;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;9^ rimborso;09/10/2023;13/11/2042;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;10^ rimborso;08/11/2022;12/12/2042;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;9^ rimborso;28/12/2023;02/02/2043;n/d;EUR;722.598.215,10;;;;;;
XS1192711189;EMTN;18/02/2015;18/02/2043; 1,190  Cedola reale;EUR;372.402.000,00;;;;;;
NGEU apr.2022/mag.2052;11^ rimborso;13/04/2022;19/05/2043;n/d;EUR;550.000.000,00;;;;;;
IT0005530032;BTP 20;01/09/2022;01/09/2043;4,450 Cedola reale;EUR;9.800.000.000,00;;;;;;
NGEU ago.2021/set.2051;12^ rimborso;13/08/2021;10/09/2043;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;10^ rimborso;09/10/2023;13/11/2043;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;11^ rimborso;08/11/2022;11/12/2043;n/d;EUR;550.000.000,00;;;;;;
XS1022037805;EMTN;24/01/2014;24/01/2044; 2,970  Cedola reale;EUR;310.780.000,00;;;;;;
NGEU dic.2023/feb.2054;10^ rimborso;28/12/2023;02/02/2044;n/d;EUR;722.598.215,10;;;;;;
NGEU apr.2022/mag.2052;12^ rimborso;13/04/2022;20/05/2044;n/d;EUR;550.000.000,00;;;;;;
IT0004923998;BTP 30;01/03/2013;01/09/2044;4,750;EUR;19.483.479.000,00;;;;;;
NGEU ago.2021/set.2051;13^ rimborso;13/08/2021;09/09/2044;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;11^ rimborso;09/10/2023;11/11/2044;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;12^ rimborso;08/11/2022;13/12/2044;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;11^ rimborso;28/12/2023;01/02/2045;n/d;EUR;722.598.215,10;;;;;;
IT0005438004;BTP Green 24;30/10/2020;30/04/2045;1,500;EUR;13.500.000.000,00;;;;;;
NGEU apr.2022/mag.2052;13^ rimborso;13/04/2022;19/05/2045;n/d;EUR;550.000.000,00;;;;;;
IT0003838031;Ispa Obbl;25/04/2005;31/07/2045; Variabile;EUR;1.000.000.000,00;;;;;;
IT0003805295;Ispa Obbl;04/03/2005;31/07/2045; Variabile;EUR;850.000.000,00;;;;;;
NGEU ago.2021/set.2051;14^ rimborso;13/08/2021;08/09/2045;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;12^ rimborso;09/10/2023;13/11/2045;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;13^ rimborso;08/11/2022;13/12/2045;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;12^ rimborso;28/12/2023;02/02/2046;n/d;EUR;722.598.215,10;;;;;;
SURE;8^ tranche;30/03/2021;02/05/2046;0,450;EUR;1.200.000.000,00;;;;;;
XS1405801041;EMTN;04/05/2016;04/05/2046; 1,483  Cedola reale;EUR;798.078.240,00;;;;;;
NGEU apr.2022/mag.2052;14^ rimborso;13/04/2022;21/05/2046;n/d;EUR;550.000.000,00;;;;;;
IT0005083057;BTP 30;01/09/2014;01/09/2046;3,250;EUR;17.904.325.000,00;;;;;;
NGEU ago.2021/set.2051;15^ rimborso;13/08/2021;10/09/2046;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;13^ rimborso;09/10/2023;13/11/2046;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;14^ rimborso;08/11/2022;13/12/2046;n/d;EUR;550.000.000,00;;;;;;
SURE;9^ tranche;25/05/2021;04/01/2047;0,750;EUR;751.000.000,00;;;;;;
NGEU dic.2023/feb.2054;13^ rimborso;28/12/2023;04/02/2047;n/d;EUR;722.598.215,10;;;;;;
IT0005162828;BTP 30;09/02/2016;01/03/2047;2,700;EUR;17.740.969.000,00;;;;;;
NGEU apr.2022/mag.2052;15^ rimborso;13/04/2022;21/05/2047;n/d;EUR;550.000.000,00;;;;;;
NGEU ago.2021/set.2051;16^ rimborso;13/08/2021;10/09/2047;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;14^ rimborso;09/10/2023;13/11/2047;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;15^ rimborso;08/11/2022;13/12/2047;n/d;EUR;550.000.000,00;;;;;;
XS0181673798;EMTN;23/01/2020;27/01/2048;5,345;EUR;1.400.000.000,00;;;;;;
NGEU dic.2023/feb.2054;14^ rimborso;28/12/2023;03/02/2048;n/d;EUR;722.598.215,10;;;;;;
IT0005273013;BTP 30;01/03/2017;01/03/2048;3,450;EUR;17.382.254.000,00;;;;;;
NGEU apr.2022/mag.2052;16^ rimborso;13/04/2022;19/05/2048;n/d;EUR;550.000.000,00;;;;;;
NGEU ago.2021/set.2051;17^ rimborso;13/08/2021;10/09/2048;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;15^ rimborso;09/10/2023;13/11/2048;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;16^ rimborso;08/11/2022;11/12/2048;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;15^ rimborso;28/12/2023;02/02/2049;n/d;EUR;722.598.215,10;;;;;;
NGEU apr.2022/mag.2052;17^ rimborso;13/04/2022;20/05/2049;n/d;EUR;550.000.000,00;;;;;;
IT0005363111;BTP 30;01/09/2018;01/09/2049;3,850;EUR;15.617.966.000,00;;;;;;
NGEU ago.2021/set.2051;18^ rimborso;13/08/2021;10/09/2049;n/d;EUR;796.911.767,60;;;;;;
US465410BZ07;GLOBAL;17/10/2019;17/10/2049;4,000;USD;2.271.092.612,00;;;;;;
NGEU ott.2023/nov.2053;16^ rimborso;09/10/2023;12/11/2049;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;17^ rimborso;08/11/2022;13/12/2049;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;16^ rimborso;28/12/2023;01/02/2050;n/d;EUR;722.598.215,10;;;;;;
NGEU apr.2022/mag.2052;18^ rimborso;13/04/2022;18/05/2050;n/d;EUR;550.000.000,00;;;;;;
IT0005398406;BTP 30;01/09/2019;01/09/2050;2,450;EUR;15.834.623.000,00;;;;;;
NGEU ago.2021/set.2051;19^ rimborso;13/08/2021;09/09/2050;n/d;EUR;796.911.767,60;;;;;;
SURE;4^ tranche;17/11/2020;04/11/2050;0,300;EUR;3.400.000.000,00;;;;;;
NGEU ott.2023/nov.2053;17^ rimborso;09/10/2023;11/11/2050;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;18^ rimborso;08/11/2022;13/12/2050;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;17^ rimborso;28/12/2023;01/02/2051;n/d;EUR;722.598.215,10;;;;;;
US465410CC03;GLOBAL;06/05/2021;06/05/2051;3,875;USD;2.126.173.943,62;;;;;;
IT0005436701;BTP€i 30;15/11/2020;15/05/2051; 0,150  Cedola reale;EUR;8.084.198.293,80;;;;;;
NGEU apr.2022/mag.2052;19^ rimborso;13/04/2022;19/05/2051;n/d;EUR;550.000.000,00;;;;;;
IT0005425233;BTP 30;01/09/2020;01/09/2051;1,700;EUR;16.375.000.000,00;;;;;;
NGEU ago.2021/set.2051;20^ rimborso;13/08/2021;08/09/2051;n/d;EUR;796.911.767,60;;;;;;
NGEU ott.2023/nov.2053;18^ rimborso;09/10/2023;13/11/2051;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;19^ rimborso;08/11/2022;13/12/2051;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;18^ rimborso;28/12/2023;02/02/2052;n/d;EUR;722.598.215,10;;;;;;
NGEU apr.2022/mag.2052;20^ rimborso;13/04/2022;22/05/2052;n/d;EUR;550.000.000,00;;;;;;
IT0005480980;BTP 30;12/01/2022;01/09/2052;2,150;EUR;9.102.430.000,00;;;;;;
NGEU ott.2023/nov.2053;19^ rimborso;09/10/2023;13/11/2052;n/d;EUR;427.401.784,90;;;;;;
NGEU nov.2022/dic.2052;20^ rimborso;08/11/2022;13/12/2052;n/d;EUR;550.000.000,00;;;;;;
NGEU dic.2023/feb.2054;19^ rimborso;28/12/2023;03/02/2053;n/d;EUR;722.598.215,10;;;;;;
XS0970703772;EMTN;11/09/2013;11/09/2053;5,050;EUR;500.000.000,00;;;;;;
IT0005534141;BTP 30;23/02/2023;01/10/2053;4,500;EUR;9.500.000.000,00;;;;;;
NGEU ott.2023/nov.2053;20^ rimborso;09/10/2023;13/11/2053;n/d;EUR;427.401.784,90;;;;;;
NGEU dic.2023/feb.2054;20^ rimborso;28/12/2023;02/02/2054;n/d;EUR;722.598.215,10;;;;;;
XS0280146357;EMTN;05/01/2007;15/09/2057; 1,850  Cedola reale;EUR;1.418.420.000,00;;;;;;
XS0342993747;EMTN;23/01/2008;15/09/2058; 2,200  Cedola reale;EUR;696.670.000,00;;;;;;
XS0515753183;EMTN;11/06/2010;11/06/2060;4,850;EUR;250.000.000,00;;;;;;
XS0293217799;EMTN;30/03/2007;15/09/2062; 2,000  Cedola reale;EUR;354.682.500,00;;;;;;
XS0936805612;EMTN;28/05/2013;28/05/2063;4,750;EUR;500.000.000,00;;;;;;
IT0005217390;BTP 50;01/09/2016;01/03/2067;2,800;EUR;9.633.214.000,00;;;;;;
IT0005441883;BTP 50;01/03/2021;01/03/2072;2,150;EUR;5.900.000.000,00;;;;;;
;;;;;Totale;2.882.085.078.019,23;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Titoli di Stato per portafoglio REPO;;;;;;;;;;;;
Codice ISIN;Tipo titolo;Vita residua (anni, mesi);Scadenza;Cedola ;Numero della tranche;Tranche REPO (Euro);Circolante (Euro) ;;;;;
IT0005439275;BTP 3;0,3;15/04/2024;0,000;9;1.000.000.000,00;18.766.267.000,00;;;;;
IT0005246340;BTP 7;0,4;15/05/2024;1,850;12;1.000.000.000,00;15.555.458.000,00;;;;;
IT0005367492;BTP 5;0,5;01/07/2024;1,750;13;1.000.000.000,00;15.708.743.000,00;;;;;
IT0005452989;BTP 3;0,6;15/08/2024;0,000;9;1.000.000.000,00;14.306.040.000,00;;;;;
IT0005001547;BTP 10;0,7;01/09/2024;3,750;13;1.000.000.000,00;18.977.088.000,00;;;;;
IT0005282527;BTP 7;0,9;15/11/2024;1,450;14;1.000.000.000,00;18.797.849.000,00;;;;;
IT0005045270;BTP 10;0,9;01/12/2024;2,500;15;1.000.000.000,00;22.663.602.000,00;;;;;
IT0005474330;BTP 3;1,0;15/12/2024;0,000;11;1.000.000.000,00;16.298.488.000,00;;;;;
IT0005386245;BTP 5;1,1;01/02/2025;0,350;15;1.000.000.000,00;19.216.306.000,00;;;;;
IT0004513641;BTP 15;1,2;01/03/2025;5,000;21;1.000.000.000,00;25.718.669.000,00;;;;;
IT0005327306;BTP 7;1,4;15/05/2025;1,450;11;1.000.000.000,00;16.419.125.000,00;;;;;
IT0005090318;BTP 10;1,4;01/06/2025;1,500;15;1.000.000.000,00;21.380.723.000,00;;;;;
IT0005345183;BTP 7;1,9;15/11/2025;2,500;15;1.000.000.000,00;19.343.597.000,00;;;;;
IT0005127086;BTP 10;1,9;01/12/2025;2,000;16;1.000.000.000,00;20.427.596.000,00;;;;;
IT0004644735;BTP 15;2,2;01/03/2026;4,500;20;1.000.000.000,00;23.466.898.000,00;;;;;
IT0005170839;BTP 10;2,4;01/06/2026;1,600;17;1.000.000.000,00;22.674.500.000,00;;;;;
IT0005370306;BTP 7;2,5;15/07/2026;2,100;13;1.000.000.000,00;17.785.321.000,00;;;;;
IT0005454241;BTP 5;2,6;01/08/2026;0,000;13;1.000.000.000,00;18.559.122.000,00;;;;;
IT0005210650;BTP 10;2,9;01/12/2026;1,250;16;1.000.000.000,00;20.396.843.000,00;;;;;
IT0005390874;BTP 7;3,0;15/01/2027;0,850;15;1.000.000.000,00;19.841.928.000,00;;;;;
IT0005240830;BTP 10;3,4;01/06/2027;2,200;15;1.000.000.000,00;19.869.551.000,00;;;;;
IT0001174611;BTP 30;3,8;01/11/2027;6,500;25;1.000.000.000,00;27.763.132.147,48;;;;;
IT0005323032;BTP 10;4,1;01/02/2028;2,000;18;1.000.000.000,00;24.077.136.000,00;;;;;
IT0005445306;BTP 7;4,5;15/07/2028;0,500;11;1.000.000.000,00;16.494.896.000,00;;;;;
IT0004889033;BTP 15;4,7;01/09/2028;4,750;17;1.000.000.000,00;26.576.154.000,00;;;;;
IT0005340929;BTP 10;4,9;01/12/2028;2,800;18;1.000.000.000,00;22.368.192.000,00;;;;;
IT0005365165;BTP 10;5,6;01/08/2029;3,000;16;1.000.000.000,00;22.966.500.000,00;;;;;
IT0001278511;BTP 30;5,8;01/11/2029;5,250;42;1.000.000.000,00;30.819.999.208,67;;;;;
IT0005024234;BTP 15;6,2;01/03/2030;3,500;27;1.000.000.000,00;29.206.449.000,00;;;;;
IT0005422891;BTP 10;7,3;01/04/2031;0,900;15;1.000.000.000,00;24.450.073.000,00;;;;;
IT0001444378;BTP 30;7,3;01/05/2031;6,000;43;1.000.000.000,00;32.254.500.000,00;;;;;
IT0005436693;BTP 10;7,6;01/08/2031;0,600;8;1.000.000.000,00;21.300.000.000,00;;;;;
IT0005449969;BTP 10;7,9;01/12/2031;0,950;9;1.000.000.000,00;20.515.000.000,00;;;;;
IT0005094088;BTP 15;8,2;01/03/2032;1,650;23;1.000.000.000,00;25.486.727.000,00;;;;;
IT0005466013;BTP 10;8,4;01/06/2032;0,950;13;1.000.000.000,00;20.800.000.000,00;;;;;
IT0005494239;BTP 10;8,9;01/12/2032;2,500;15;1.000.000.000,00;19.050.000.000,00;;;;;
IT0003256820;BTP 30;9,1;01/02/2033;5,750;19;1.000.000.000,00;27.261.000.000,00;;;;;
IT0005518128;BTP 10;9,3;01/05/2033;4,400;13;1.000.000.000,00;21.350.000.000,00;;;;;
IT0005240350;BTP 15;9,7;01/09/2033;2,450;18;1.000.000.000,00;19.808.228.000,00;;;;;
IT0005358806;BTP 15;11,2;01/03/2035;3,350;8;1.000.000.000,00;15.800.000.000,00;;;;;
IT0005402117;BTP 15;12,2;01/03/2036;1,450;8;1.000.000.000,00;15.400.000.000,00;;;;;
IT0005177909;BTP 20;12,7;01/09/2036;2,250;14;1.000.000.000,00;17.178.000.000,00;;;;;
IT0003934657;BTP 30;13,1;01/02/2037;4,000;33;1.000.000.000,00;31.899.008.000,00;;;;;
IT0005433195;BTP 15;13,2;01/03/2037;0,950;8;1.000.000.000,00;17.500.000.000,00;;;;;
IT0005421703;BTP 20;17,2;01/03/2041;1,800;8;1.000.000.000,00;17.600.000.000,00;;;;;
IT0005162828;BTP 30;23,2;01/03/2047;2,700;17;1.000.000.000,00;18.740.969.000,00;;;;;
IT0005273013;BTP 30;24,2;01/03/2048;3,450;16;1.000.000.000,00;18.382.254.000,00;;;;;
IT0005398406;BTP 30;26,7;01/09/2050;2,450;7;1.000.000.000,00;16.834.623.000,00;;;;;
IT0005425233;BTP 30;27,7;01/09/2051;1,700;11;1.000.000.000,00;17.375.000.000,00;;;;;
IT0005441883;BTP 50;48,2;01/03/2072;2,150;4;1.000.000.000,00;6.900.000.000,00;;;;;
;;;;;Totale;50.000.000.000,00;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;

